variety,points,price
Nero di Troia,88.1,32.0
Neuburger,90.11111111111111,22.0
Nielluciu,89.0,23.333333333333332
Norton,83.95238095238095,23.61904761904762
Nosiola,87.75,26.875
Nuragus,86.44444444444444,16.0
Ojaleshi,88.0,18.0
Okuzgozu,89.5,23.875
Ondenc,90.0,15.0
Orange Muscat,87.9,18.933333333333334
Orangetraube,90.0,22.5
Other,89.0,27.0
Otskhanuri Sapere,90.0,30.0
Pallagrello,87.71428571428571,35.53846153846154
Pallagrello Bianco,87.6,31.6
Pallagrello Nero,87.75,45.25
Palomino,88.82608695652173,42.130434782608695
Pansa Blanca,85.28571428571429,17.642857142857142
Papaskarasi,86.0,22.0
Paralleda,83.0,11.0
Pardina,83.0,11.0
Parraleta,83.0,13.5
Passerina,86.26923076923077,17.0
País,86.0,19.0
Pecorino,87.32075471698113,19.97872340425532
Pedro Ximénez,89.63793103448276,31.2
Pelaverga Piccolo,88.0,28.0
Perricone,87.75,26.11111111111111
Petit Courbu,88.0,19.0
Petit Manseng,89.98412698412699,30.563636363636363
Petit Meslier,89.0,
Petit Verdot,88.2332268370607,38.56535947712418
Petite Sirah,87.7826520438684,30.469061876247505
Petite Syrah,86.5,46.5
Petite Verdot,87.52173913043478,44.0
Petroulianos,86.5,25.0
Picapoll,82.5,22.0
Picolit,90.93939393939394,72.0
Picpoul,87.77777777777777,20.470588235294116
Pied de Perdrix,87.0,13.0
Piedirosso,86.6875,20.875
Pigato,84.0,15.5
Pignoletto,84.5,16.333333333333332
Pignolo,92.0,70.0
Pineau d'Aunis,86.5,
Pinela,88.0,30.0
Pinot Auxerrois,86.92307692307692,23.5
Pinot Bianco,88.35519125683061,24.45614035087719
Pinot Blanc,87.57952468007312,19.872916666666665
Pinot Blanc-Chardonnay,87.75,23.5
Pinot Blanc-Pinot Noir,85.5,17.0
Pinot Blanc-Viognier,87.0,19.0
Pinot Grigio,86.04050279329608,15.809454545454546
Pinot Grigio-Chardonnay,84.0,10.0
Pinot Grigio-Sauvignon Blanc,87.0,35.0
Pinot Gris,88.20299022426683,22.941958887545344
Pinot Gris-Gewürztraminer,90.0,20.0
Pinot Meunier,89.02173913043478,45.75555555555555
Pinot Nero,88.58793969849246,33.79190751445087
Pinot Noir,89.17452405260946,46.55392218190917
Pinot Noir-Gamay,85.66666666666667,18.235294117647058
Pinot Noir-Syrah,88.0,38.666666666666664
Pinot-Chardonnay,89.16666666666667,28.666666666666668
Pinotage,87.04326923076923,21.412935323383085
Pinotage-Merlot,84.0,10.0
Piquepoul Blanc,88.0,13.0
Plavac Mali,87.89473684210526,34.68421052631579
Plyto,87.0,19.5
Port,89.01289134438306,57.22154963680387
Portuguese Red,88.80944176430049,24.775923718712754
Portuguese Rosé,84.53333333333333,17.0
Portuguese Sparkling,86.04545454545455,17.18
Portuguese White,87.04188880426504,15.44731977818854
Portuguiser,86.0,15.0
Posip,87.625,24.0
Poulsard,87.33333333333333,26.0
Premsal,83.0,15.0
Prieto Picudo,85.30434782608695,31.17391304347826
Primitivo,86.93771626297578,24.18076923076923
Prié Blanc,88.33333333333333,24.2
Prokupac,88.0,21.0
Prosecco,86.43052391799544,18.701333333333334
Provence red blend,90.12727272727273,30.607843137254903
Provence white blend,88.03333333333333,24.035714285714285
Prugnolo Gentile,88.33333333333333,39.714285714285715
Prunelard,91.0,23.0
Pugnitello,87.75,49.25
Rabigato,89.33333333333333,34.0
Raboso,85.875,26.2
